OM azonosító;Intézmény megnevezése
035185;Budapest XXI. Kerületi Nagy Imre Általános Iskola
035186;Budapest XXI. Kerületi Vermes Miklós Általános Iskola
035187;Burattino Általános és Középiskola, Gyermekotthon
035191;Árpád Utcai Német Nemzetiségi Nyelvoktató Általános Iskola
035193;Budapest XXII. Kerületi Bartók Béla Magyar - Angol Két Tanítási Nyelvű Általános Iskola
035196;Gádor Általános Iskola
035197;Budafoki Kossuth Lajos Magyar - Angol Két Tanítási Nyelvű Általános Iskola
035198;Hugonnai Vilma Általános Iskola
035199;Budafoki Herman Ottó Általános Iskola
035200;Rózsakerti Demjén István Református Általános Iskola és Gimnázium
035201;Kolonics György Általános Iskola és Köznevelési Sportiskola
035202;Budafok - Tétényi Baross Gábor Általános Iskola
035206;Fővárosi Iskolaszanatórium Általános Iskola és Gimnázium
035210;Hungária Általános Iskola és Kollégium
035212;BOKRÉTA LAKÁSOTTHONI, GYERMEKOTTHONI KÖZPONT ÉS ÁLTALÁNOS ISKOLA BUDAPEST
035214;GYERMEKVÉDELMI KÖZPONT ÉS ÁLTALÁNOS ISKOLA KOMÁROM-ESZTERGOM VÁRMEGYE
035215;KOSSUTH LAJOS GYERMEKOTTHONI KÖZPONT ÉS ÁLTALÁNOS ISKOLA BUDAPEST
035218;Budapest I. Kerületi Petőfi Sándor Gimnázium
035219;Budapest I. Kerületi Szilágyi Erzsébet Gimnázium
035220;Budapest I. Kerületi Toldy Ferenc Gimnázium
035222;Budapest II. Kerületi II. Rákóczi Ferenc Gimnázium
035223;Óbudai Árpád Gimnázium
035225;Óbudai Gimnázium
035226;Békásmegyeri Veres Péter Gimnázium
035227;Újpesti Könyves Kálmán Gimnázium
035228;Újpesti Babits Mihály Gimnázium
035229;ELTE Apáczai Csere János Gyakorló Gimnázium és Kollégium
035230;Budapest V. Kerületi Eötvös József Gimnázium
035231;Veres Pálné Gimnázium
035232;Budapest VI. Kerületi Kölcsey Ferenc Gimnázium
035233;VII. Kerületi Madách Imre Gimnázium
035234;Budapest VIII. Kerületi Vörösmarty Mihály Gimnázium
035235;Budapest IX. Kerületi Leövey Klára Gimnázium
035236;Kőbányai Szent László Gimnázium
035237;Budapest X. Kerületi Zrínyi Miklós Gimnázium
035239;Szent Margit Gimnázium
035242;Városmajori Gimnázium
035243;Berzsenyi Dániel Gimnázium
035244;Németh László Gimnázium
035245;Budapest XIII. Kerületi Ady Endre Gimnázium
035246;Szent István Gimnázium
035247;Budapest XIV. Kerületi Teleki Blanka Gimnázium
035248;Budapest XV. Kerületi Dózsa György Gimnázium és Táncművészeti Szakgimnázium
035249;Budapest XVI. Kerületi Szerb Antal Gimnázium
035250;Budapest XVII. Kerületi Balassi Bálint Nyolcévfolyamos Gimnázium
035252;Karinthy Frigyes Gimnázium
035253;Kispesti Deák Ferenc Gimnázium
035254;Kispesti Károlyi Mihály Magyar-Spanyol Tannyelvű Gimnázium
035255;Jedlik Ányos Gimnázium
035256;Budapest XXII. Kerületi Budai Nagy Antal Gimnázium
035257;Kempelen Farkas Gimnázium
035259;Piarista Gimnázium
035260;Patrona Hungariae Általános Iskola, Gimnázium, Kollégium és Alapfokú Művészeti Iskola
035261;Budapest-Fasori Evangélikus Gimnázium
035264;Terézvárosi Magyar-Angol, Magyar-Német Két Tannyelvű Általános Iskola
035265;Magyar Táncművészeti Egyetem Nádasi Ferenc Gimnáziuma és Kollégiuma
035266;Budapest VI. Kerületi Szinyei Merse Pál Gimnázium
035271;Nikola Tesla Szerb Tanítási Nyelvű Óvoda, Általános Iskola, Gimnázium, Kollégium és Könyvtár
035273;Maszoret Avot  Óvoda és Általános Iskola
035277;Budapesti Fazekas Mihály Gyakorló Általános Iskola és Gimnázium
035278;Szlovák Tanítási Nyelvű Óvoda, Általános Iskola, Gimnázium és Kollégium
035279;ELTE Trefort Ágoston Gyakorló Gimnázium
035281;Corvin Mátyás Gimnázium
035282;Budapest IX. Kerületi Szent-Györgyi Albert Általános Iskola és Gimnázium
035283;Ferencvárosi Sport Általános Iskola és Gimnázium
035284;Budapest IX. Kerületi Weöres Sándor Általános Iskola és Gimnázium
035288;Tamási Áron Általános Iskola, Gimnázium és Német Nemzetiségi Gimnázium
035289;Sashegyi Arany János Általános Iskola és Gimnázium
035301;Liszt Ferenc Zeneművészeti Egyetem Bartók Béla Zeneművészeti és Hangszerészképző Gyakorló Szakgimnázium
035302;Budapesti Osztrák Iskola - Osztrák Felsőreál Gimnázium
035304;Német Nemzetiségi Gimnázium és Kollégium
035305;Baár-Madas Református Gimnázium, Általános Iskola és Kollégium
035307;Kodály Zoltán Magyar Kórusiskola Katolikus Általános Iskola, Gimnázium, Alapfokú Művészeti Iskola és Szakgimnázium
035310;Budapest XVI. Kerületi Táncsics Mihály Általános Iskola és Gimnázium
035313;Európa Alapítvány Középfokú Intézet (EAKI) Gimnázium
035314;Álmos Vezér Gimnázium, Pedagógiai Szakgimnázium és Általános Iskola
035315;Budenz József Alapítványi Gimnázium
035316;Kürt Alternatív Gimnázium
035319;Budapest XVII. Kerületi Kőrösi Csoma Sándor Általános Iskola és Gimnázium
035321;Deák Téri Evangélikus Gimnázium
035322;Budapest XVIII. Kerületi Vörösmarty Mihály Ének-zenei, Nyelvi Általános Iskola és Gimnázium
035323;Budapest XX. Kerületi Kossuth Lajos Gimnázium
035324;Budapest XX. Kerületi Nagy László Általános Iskola és Gimnázium
035326;Horvát Óvoda, Általános Iskola, Gimnázium és Kollégium
035327;Klebelsberg Kuno Általános Iskola és Gimnázium
035328;Bethlen Gábor Általános Iskola és Gimnázium
035329;Budapest VI. Kerületi Erkel Ferenc Általános Iskola
035339;Kontyfa Általános Iskola és Gimnázium
035343;Pasaréti Gimnázium
035344;Budapest I. Kerületi Kosztolányi Dezső Gimnázium
035346;Pesthidegkúti Waldorf Általános Iskola, Gimnázium és Alapfokú Művészeti Iskola
035348;Pasaréti Szabó Lőrinc Magyar-Angol Két Tanítási Nyelvű Általános Iskola és Gimnázium
035349;BME által alapított Két Tanítási Nyelvű Gimnázium
035351;Müller György Óvoda, Általános Iskola és Alapfokú Művészeti Iskola
035356;Gustave Eiffel Francia Óvoda, Általános Iskola és Gimnázium
035357;Budapesti Egyetemi Katolikus Gimnázium és Kollégium
035358;Szent Gellért Katolikus Általános Iskola és Gimnázium
035360;Kodály Zoltán Ének-zenei Általános Iskola, Gimnázium és Zenei Alapfokú Művészeti Iskola
035361;Budapest III. Kerületi Krúdy Gyula Angol-Magyar Két Tanítási Nyelvű Általános Iskola
035362;Budai Ciszterci Szent Imre Gimnázium
035377;Jelky András Iparművészeti Szakgimnázium
035384;Jaschik Álmos Művészeti Szakgimnázium és Technikum
035445;Nemes Nagy Ágnes Művészeti Szakgimnázium
035452;Képző- és Iparművészeti Szakgimnázium és Kollégium - a Magyar Képzőművészeti Egyetem Gyakorlóiskolája
035454;Alternatív Közgazdasági Gimnázium, Szakgimnázium és Általános Iskola
035462;Weiner Leó Katolikus Zeneiskola-Alapfokú Művészeti Iskola és Zeneművészeti Szakgimnázium
035464;Közgazdasági Politechnikum Alternatív Gimnázium
035468;Budapest Baptista  Gimnázium,Technikum és Sportiskola
035483;Xántus János Két Tanítási Nyelvű Gimnázium
035506;Európa 2000 Gimnázium
035562;ADDETUR Baptista Gimnázium és Szakiskola
035606;Pestszentlőrinc-Pestszentimrei Felnőttek Általános Iskolája és Gimnáziuma
035625;Belvárosi Tanoda Alapítványi Gimnázium
035646;Jászberény Város Óvodai Intézménye
035649;Jászberényi Református Egyházközség Gólya Óvodája és Bölcsődéje
035650;"Maci" Alapítványi Óvoda
035728;TÖRÖKSZENTMIKLÓSI ÓVODAI INTÉZMÉNY
035732;Önálló Óvodai Intézmény Jászapáti
035736;KUNHEGYES VÁROS ÓVODAI INTÉZMÉNY, BÖLCSŐDE ÉS KONYHA
035740;Játékvár Óvoda és Bölcsőde
035750;Túrkevei Óvodai Igazgatóság és Bölcsőde
035764;JÁSZFÉNYSZARUI NAPFÉNY ÓVODA
035770;Jászkiséri Városi Óvoda
035771;Jászladányi Óvoda és Bölcsőde
035780;KUNMADARASI ÖSSZEVONT ÓVODA ÉS BÖLCSŐDE
035789;Virágoskert Óvoda és Bölcsőde
035790;Rákócziújfalui Mesevár Óvoda
035793;Vadárvácska Óvoda
035795;Belterületi Óvoda
035796;Homoki Óvoda
035809;Tiszavirág Református Óvoda
035821;Fegyverneki Tiszavirág Óvoda és Bölcsőde
035823;NAPSUGÁR MŰVÉSZETI MODELLÓVODA ÉS MINIBÖLCSŐDE
035826;Magyar Máltai Szeretetszolgálat Tiszabői Margaréta Óvoda
035831;Cibakházi Napsugár Óvoda
035843;Szent István Sport Általános Iskola és Gimnázium
035844;Jászberényi Nagyboldogasszony Katolikus Óvoda, Kéttannyelvű Általános Iskola és Gimnázium
035859;Berekfürdői Veress Zoltán Általános Iskola
035861;Karcagi Nagykun Református Általános Iskola és Talentum Óvoda
035869;Mezőtúri II. Rákóczi Ferenc Magyar-Angol Két Tanítási Nyelvű Általános Iskola
035871;Szent István Katolikus Általános Iskola és Óvoda
035876;Szolnoki Kőrösi Csoma Sándor Általános Iskola és Alapfokú Művészeti Iskola
035877;Kassai Úti Magyar-Angol Két Tanítási Nyelvű Általános Iskola
035878;Szegő Gábor Általános Iskola
035880;Széchenyi Körúti Sportiskolai Általános Iskola és Alapfokú Művészeti Iskola
035881;Szolnoki II. Rákóczi Ferenc Magyar-Német Két Tanítási Nyelvű Általános Iskola
035882;Szolnoki Fiumei Úti Általános Iskola
035883;Szandaszőlősi Általános Iskola és Alapfokú Művészeti Iskola
035887;Szolnoki Kodály Zoltán Ének-zenei Általános Iskola és Néptánc Alapfokú Művészeti Iskola
035890;Aranyos Szeglet Waldorf Óvoda, Általános Iskola, Gimnázium és Alapfokú Művészeti Iskola
035898;Bán Zsigmond Református Két Tanítási Nyelvű Általános Iskola, Alapfokú Művészeti Iskola és Óvoda
035899;Törökszentmiklósi Református Oktatási Központ - Óvoda, Általános Iskola, Gimnázium, Technikum, Szakképző Iskola, Kollégium és Bölcsőde
035900;Hunyadi Mátyás Magyar-Angol Két Tanítási Nyelvű Általános Iskola
035902;Baptista Szeretetszolgálat EJSZ Kölcsey Ferenc Általános Iskolája
035916;Túrkevei Petőfi Sándor Általános Iskola
035917;Kaszap Nagy István Református Általános Iskola és Óvoda
035921;Mátyás Király Általános Iskola
035923;Jászárokszállási Széchenyi István Általános Iskola és Alapfokú Művészeti Iskola
035928;IV. Béla Katolikus Általános Iskola és Alapfokú Művészeti Iskola
035929;Csete Balázs Általános Iskola
035930;Jászladányi Móra Ferenc Általános Iskola
035931;Kunráth Sándor Általános Iskola és Alapfokú Művészeti Iskola
035938;Szent Imre Katolikus Általános Iskola és Liliom Óvoda
035939;Arany János Általános Művelődési Központ
035945;Rákóczifalvai II. Rákóczi Ferenc Általános Iskola és Alapfokú Művészeti Iskola
035946;Rákócziújfalui Herman Ottó Általános Iskola
035947;Szajoli Kölcsey Ferenc Általános Iskola
035949;Tiszaföldvári Kossuth Lajos Általános Iskola
035950;Homoki Általános Iskola
035951;Papp Bertalan Ószőlői Általános Iskola
035955;Tószegi Általános Iskola
035961;Abádszalóki Kovács Mihály Általános Iskola
035963;Magyar Máltai Szeretetszolgálat Tiszaburai Általános Iskola
035969;Fegyverneki Móra Ferenc Általános Iskola
035970;Kengyeli Kossuth Lajos Általános Iskola
035979;Cibakházi Damjanich János Általános Iskola
035980;Cserkeszőlői Petőfi Sándor Általános Iskola
035983;Öcsödi József Attila Általános Iskola
035984;Tiszakürti Körzeti Általános Iskola
035987;Jászárokszállási Deák Ferenc Gimnázium
035990;Varga Katalin Gimnázium
035992;Verseghy Ferenc Gimnázium
035994;Szolnoki Széchenyi István Gimnázium és Művészeti Szakgimnázium
036007;Mezőtúri Református Kollégium, Gimnázium, Technikum, Általános Iskola, Óvoda és Bölcsőde
036009;Humán Intézet Gimnázium és Alapfokú Művészeti Iskola
036014;Tiszafüredi Kossuth Lajos Gimnázium és Általános Iskola
036045;Szent István Körúti Egységes Gyógypedagógiai Módszertani Intézmény, Óvoda, Általános Iskola, Szakiskola és Készségfejlesztő Iskola
036127;Szekszárdi Óvoda, Bölcsőde és Mini Bölcsőde
036132;Wunderland Kindergarten A Szekszárdi Német Nemzetiségi Önkormányzat Óvodája
036138;"Az Én Ovim" Óvoda és Bölcsőde
036154;BÁTAAPÁTI ÓVODA ÉS KONYHA
036231;DIÓSBERÉNYI NAPRAFORGÓ ÓVODA ÉS KONYHA
036232;Értényi Szivárvány Óvoda és Főzőkonyha
036263;Bonyhádi Általános Iskola, Gimnázium és Alapfokú Művészeti Iskola
036267;Szent Orsolya Bencés Általános Iskola, Alapfokú Művészeti Iskola és Kollégium
036268;Dombóvári József Attila Általános Iskola
036271;Paksi Bezerédj Általános Iskola
036273;Paksi Deák Ferenc Általános Iskola
036276;Paksi Balogh Antal Katolikus Óvoda, Általános Iskola és Gimnázium
036280;Szekszárdi Babits Mihály Általános Iskola
036281;Szekszárdi Dienes Valéria Általános Iskola
036282;Pécsi Tudományegyetem Illyés Gyula Gyakorló Általános Iskola, Alapfokú Művészeti Iskola és Gyakorlóóvoda
036283;Szekszárdi Baka István Általános Iskola
036285;Szent József Katolikus Általános Iskola és Óvoda - Katholische Grundschule
036296;Wosinsky Mór Általános Iskola
036300;Aparhanti Általános Iskola
036301;Cikói Perczel Mór Általános Iskola
036306;Mórágyi Általános Iskola
036307;Nagymányoki II. Rákóczi Ferenc Általános Iskola és Alapfokú Művészeti Iskola
036308;Teveli Általános Iskola
036310;Györei Templom Általános Iskola
036317;Magyar Máltai Szeretetszolgálat Galló József Általános Iskola és Magoncka Óvoda
036320;Kurdi Körzeti Általános Iskola
036321;Szakcsi Általános Iskola
036325;Dunaszentgyörgyi Csapó Vilmos Általános Iskola
036327;Györkönyi Német Nemzetiségi Általános Iskola
036330;Nagydorogi Széchényi Sándor Általános Iskola
036336;Bátai Hunyadi János Általános Iskola
036338;Bogyiszlói Általános Iskola
036340;Faddi Gárdonyi Géza Általános Iskola
036343;Kölesdi Béri Balogh Ádám Általános Iskola
036345;Őcsényi Perczel Mór Általános Iskola
036350;Várdomb-Alsónána Általános Iskola
036351;Zombai Általános Iskola és Alapfokú Művészeti Iskola
036360;Hőgyészi Hegyhát Általános Iskola, Gimnázium és Kollégium
036362;Iregszemcsei Deák Ferenc Általános Iskola
036368;Ozorai Illyés Gyula Általános Iskola
036370;Würtz Ádám Általános Iskola és Alapfokú Művészeti Iskola
036371;Vak Bottyán Általános Iskola és Gimnázium
036378;Bonyhádi Petőfi Sándor Evangélikus Gimnázium, Kollégium, Általános Iskola és Alapfokú Művészeti Iskola
036379;Dombóvári Illyés Gyula Gimnázium
036384;Szekszárdi Garay János Gimnázium
036385;Tolnai Szent István Katolikus Gimnázium
036391;Paksi Vak Bottyán Gimnázium
036394;Szekszárdi I. Béla Gimnázium, Kollégium és Általános Iskola
036416;Szekszárdi Kolping Katolikus Szakképző Iskola, Gimnázium, Szakgimnázium, Szakiskola és Alapfokú Művészeti Iskola
036434;Celldömölki Városi Óvoda
036435;Hajnalcsillag Evangélikus Óvoda
036446;Kőszeg Meseváros Óvoda és Bölcsőde
036453;Sárvári Vármelléki Óvoda
036456;Szentgotthárd és Kistérsége Egyesített Óvodák és Bölcsőde
036457;SZOMBATHELYI ARÉNA ÓVODA
036458;SZOMBATHELYI BARÁTSÁG ÓVODA
036459;SZOMBATHELYI PIPITÉR ÓVODA
036460;SZOMBATHELYI HÉTSZÍNVIRÁG ÓVODA
036461;Szombathelyi Benczúr Gyula Utcai Óvoda
036462;SZOMBATHELYI SZIVÁRVÁNY ÓVODA
036463;SZOMBATHELYI DONÁSZY MAGDA ÓVODA
036464;SZOMBATHELYI MESEVÁR ÓVODA
036465;SZOMBATHELYI KŐRÖSI CSOMA SÁNDOR UTCAI ÓVODA
036466;SZOMBATHELYI GAZDAG ERZSI ÓVODA
036467;SZOMBATHELYI MARGARÉTA ÓVODA
036468;SZOMBATHELYI MAROS ÓVODA
036471;SZOMBATHELYI NAPSUGÁR ÓVODA
036472;SZOMBATHELYI WEÖRES SÁNDOR ÓVODA
036473;SZOMBATHELYI SZŰRCSAPÓ ÓVODA
036474;SZOMBATHELYI MOCORGÓ ÓVODA
036477;SZOMBATHELYI JÁTÉKSZIGET ÓVODA
036481;Vasvári Ficánkoló Óvoda és Mocorgó Bölcsőde
036482;ALSÓÚJLAKI VACKOR ÓVODA
036488;Kemenesmagasi Manóvár Óvoda
036490;MERSEVÁTI ÓVODA
036491;Tündérkert Óvoda Nagysimonyi
036494;KEMENESMIHÁLYFAI MESEVÁR ÓVODA
036495;VÖNÖCKI ÓVODA
036497;BAJÁNSENYEI PÖTTÖMSZIGET ÓVODA ÉS MINI BÖLCSŐDE
036499;Egyházasrádóci Meseház Óvoda és Bölcsőde
036504;Őriszentpéteri Katica Óvoda és Mini Bölcsőde
036511;CSODAORSZÁG ÓVODA, BÖLCSŐDE ÉS KÖZÉTKEZTETÉST ELLÁTÓ INTÉZMÉNY
036519;Gércei Óvoda
036527;Répcelaki Százszorszép Óvoda
036546;ACSÁDI MÉZESKALÁCS ÓVODA
036547;BALOGUNYOMI ROZMARING ÓVODA
036549;FELSŐCSATÁRI ÓVODA-CUVARNICA
036550;Gyöngyös-Kert Óvoda
036551;JÁKI SZÁZSZORSZÉP ÓVODA
036554;NEMESBŐDI GYÖNGYVIRÁG ÓVODA
036555;Perenyei Aranyhíd Óvoda
036558;Sorkifaludi Bokréta Óvoda
036559;Sorokpolányi Bóbita Óvoda és Mini Bölcsőde
036562;HÉT KASTÉLY KERTJE MŰVÉSZETI ÓVODA ÉS BÖLCSŐDE
036563;TORONYI CSICSERGŐ ÓVODA
036566;Vasszécsenyi Tündérország Óvoda és Körzeti Bölcsőde
036567;Vépi Vadvirág Művészeti Óvoda és Bölcsőde
036575;Győrvári Lurkó Kuckó Óvoda
036576;Kertészkert Művészeti Óvoda
036577;OLASZFAI NAPSUGÁR ÓVODA
036589;Szent Benedek Katolikus Általános Iskola
036590;Boldog Batthyány László Katolikus Általános Iskola
036592;Olcsai-Kiss Zoltán Általános Iskola
036596;Kőszegi Béri Balog Ádám Általános Iskola
036598;Árpád-házi Szent Margit Óvoda, Általános Iskola, Gimnázium és Kollégium
036599;Bersek József Általános Iskola
036600;Sárvári Nádasdy Tamás Általános Iskola
036604;Szent László Katolikus Általános Iskola
036611;Szombathelyi Derkovits Gyula Általános Iskola
036613;Szombathelyi Neumann János Általános Iskola
036614;Paragvári Utcai Általános Iskola
036615;Dési Huber István Általános Iskola
036617;Szombathelyi Reguly Antal Nyelvoktató Nemzetiségi Általános Iskola
036621;Szombathelyi Váci Mihály Általános Iskola és Alapfokú Művészeti Iskola
036622;Gothard Jenő Általános Iskola
036623;Szombathelyi Zrínyi Ilona Általános Iskola
036624;Szombathelyi Bercsényi Miklós Általános Iskola
036626;Boldog Brenner János Általános Iskola és Gimnázium
036627;Vasvári Általános Iskola
036633;Kemenesmagasi Általános Iskola
036638;Ostffyasszonyfai Petőfi Sándor Általános Iskola
036641;Szent Imre Általános Iskola
036643;Csaba József Általános Iskola
036645;Egyházasrádóci Kossuth Lajos Általános Iskola
036650;Nádasdi Széchenyi István Általános Iskola
036652;Őriszentpéteri Általános Iskola
036659;Felsőbüki Nagy Pál Általános Iskola
036661;Dr. Tolnay Sándor Általános Iskola
036667;Bői Általános Iskola
036668;Gércei Általános Iskola
036675;Répcelaki Móra Ferenc Általános Iskola
036679;Szelestei Általános Iskola
036686;APÁTISTVÁNFALVI KÉTTANNYELVŰ ÁLTALÁNOS ISKOLA ÉS ÓVODA
036688;Kossics József Kétnyelvű Általános Iskola és Óvoda
036694;Felsőcsatári Nyelvoktató Nemzetiségi Általános Iskola
036695;Apponyi Albert Általános Iskola
036696;Jáki Nagy Márton Nyelvoktató Nemzetiségi Általános Iskola
036697;Nárai Aranykapu Óvoda
036698;Rumi Rajki István Általános Iskola
